./results\cpp8\Set11\10/barbara.tif,27.345633017795382,0.8396018906322327,0.10265296697616577,7.126777410507202
./results\cpp8\Set11\10/boats.tif,31.999206318416455,0.9271380558855533,0.06950381398200989,0.4499666690826416
./results\cpp8\Set11\10/cameraman.tif,28.440818208249226,0.881309126095891,0.08043668419122696,0.4551377296447754
./results\cpp8\Set11\10/fingerprint.tif,28.12873260240481,0.932189272059191,0.08725002408027649,1.8147220611572266
./results\cpp8\Set11\10/flinstones.tif,29.838441282402126,0.8891306561669081,0.0971231460571289,1.8278064727783203
./results\cpp8\Set11\10/foreman.tif,37.996092122837354,0.9543738871607781,0.03135664016008377,0.5207257270812988
./results\cpp8\Set11\10/house.tif,35.44179899377391,0.8997730274267197,0.058192573487758636,0.4506804943084717
./results\cpp8\Set11\10/lena256.tif,30.825047967710887,0.9181575710273981,0.05946309491991997,0.4549245834350586
./results\cpp8\Set11\10/Monarch.tif,31.63014058231706,0.9508638261003495,0.04587118327617645,0.45324230194091797
./results\cpp8\Set11\10/Parrots.tif,30.327349323395808,0.9292185395576954,0.0632033497095108,0.4530797004699707
./results\cpp8\Set11\10/peppers256.tif,32.04178575376642,0.9272564104342461,0.06187531352043152,0.4532814025878906
avg, 31.274095106642676, 0.9135465693224512, 0.06881170719861984
avg, 31.27, 0.9135, 0.0688
./results\cpp8\Set11\10/barbara.tif,27.344065223550196,0.8395598565939385,0.10269226133823395,3.0976803302764893
./results\cpp8\Set11\10/boats.tif,31.99773495712542,0.927127925412178,0.0695112943649292,2.8905978202819824
./results\cpp8\Set11\10/cameraman.tif,28.440765140974207,0.8813200576767921,0.08042694628238678,2.8649728298187256
./results\cpp8\Set11\10/fingerprint.tif,28.128980681999472,0.9321922757358085,0.08723214268684387,15.471259117126465
./results\cpp8\Set11\10/flinstones.tif,29.83850162774766,0.8891306950660633,0.09712059795856476,16.616695880889893
./results\cpp8\Set11\10/foreman.tif,37.99779361284547,0.9543826155848503,0.031343407928943634,3.2490007877349854
./results\cpp8\Set11\10/house.tif,35.440639030688004,0.8997715239753723,0.05817302316427231,3.275437593460083
./results\cpp8\Set11\10/lena256.tif,30.824924443269843,0.9181600552617312,0.05946524813771248,3.086773157119751
./results\cpp8\Set11\10/Monarch.tif,31.630111427803982,0.9508564969520569,0.045873500406742096,3.3243813514709473
./results\cpp8\Set11\10/Parrots.tif,30.326861687121873,0.9292178332762718,0.0632053017616272,3.4108927249908447
./results\cpp8\Set11\10/peppers256.tif,32.04241792400387,0.9272608813272715,0.06186781823635101,3.228203058242798
avg, 31.27389052337546, 0.913543656078394, 0.06881014257669449
avg, 31.27, 0.9135, 0.0688
./results\cpp8\Set11\10/barbara.tif,27.345633017795382,0.8396018906322327,0.10265296697616577,4.490057945251465
./results\cpp8\Set11\10/boats.tif,31.999206318416455,0.9271380558855533,0.06950381398200989,0.45267343521118164
./results\cpp8\Set11\10/cameraman.tif,28.440818208249226,0.881309126095891,0.08043668419122696,0.45009827613830566
./results\cpp8\Set11\10/fingerprint.tif,28.12873260240481,0.932189272059191,0.08725002408027649,1.82647705078125
./results\cpp8\Set11\10/flinstones.tif,29.838441282402126,0.8891306561669081,0.0971231460571289,1.8566560745239258
./results\cpp8\Set11\10/foreman.tif,37.996092122837354,0.9543738871607781,0.03135664016008377,0.4603557586669922
./results\cpp8\Set11\10/house.tif,35.44179899377391,0.8997730274267197,0.058192573487758636,0.4675168991088867
./results\cpp8\Set11\10/lena256.tif,30.825047967710887,0.9181575710273981,0.05946309491991997,0.460796594619751
./results\cpp8\Set11\10/Monarch.tif,31.63014058231706,0.9508638261003495,0.04587118327617645,0.4569544792175293
./results\cpp8\Set11\10/Parrots.tif,30.327349323395808,0.9292185395576954,0.0632033497095108,0.4558553695678711
./results\cpp8\Set11\10/peppers256.tif,32.04178575376642,0.9272564104342461,0.06187531352043152,0.45264363288879395
avg, 31.274095106642676, 0.9135465693224512, 0.06881170719861984
avg, 31.27, 0.9135, 0.0688
./results\cpp8\Set11\10/barbara.tif,27.345633017795382,0.8396018906322327,0.10265296697616577,4.025127410888672
./results\cpp8\Set11\10/boats.tif,31.999206318416455,0.9271380558855533,0.06950381398200989,0.44954538345336914
./results\cpp8\Set11\10/cameraman.tif,28.440818208249226,0.881309126095891,0.08043668419122696,0.4562845230102539
./results\cpp8\Set11\10/fingerprint.tif,28.12873260240481,0.932189272059191,0.08725002408027649,1.8218183517456055
./results\cpp8\Set11\10/barbara.tif,27.344065223550196,0.8395598565939385,0.10269226133823395,3.0807175636291504
./results\cpp8\Set11\10/boats.tif,31.99773495712542,0.927127925412178,0.0695112943649292,2.8972928524017334
./results\cpp8\Set11\10/cameraman.tif,28.440765140974207,0.8813200576767921,0.08042694628238678,2.9185664653778076
./results\cpp8\Set11\10/fingerprint.tif,28.128980681999472,0.9321922757358085,0.08723214268684387,16.062172174453735
./results\cpp8\Set11\10/barbara.tif,27.345633017795382,0.8396018906322327,0.10265296697616577,3.8064358234405518
./results\cpp8\Set11\10/barbara.tif,27.345633017795382,0.8396018906322327,0.10265296697616577,3.7027623653411865
